what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1421442410250
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1421442410281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421442428619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421442430490
no handler,command,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core.commands.switch",1421442513138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421442715920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421442720041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442753667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442753858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442754034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442754202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442754378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442754554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442754730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442754906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442755082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442755266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442755458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442755690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442755962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442759594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442760094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442760144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442760195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442760244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442760294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442760344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442760523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442760690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442760867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442761034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442761202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421442761418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421442836706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421443013657
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1421443494184
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1421443498980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421443516114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421443516450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421443533727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421443546520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421443548151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421443737597
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421443739900
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421443741576
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421443743085
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421443756259
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421443770433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421443770563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421443836330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421443843519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421443849733
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421443850368
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421444002485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444002624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444005600
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444028873
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444037083
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421444045942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444046080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444049865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444053342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444056434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444062954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444065537
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444073221
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421444086543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444086703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444096794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444099880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444105127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444109694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444119438
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444120086
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421444176312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444188388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444189414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444189595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444191531
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444203391
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421444204649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444214062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444215386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444215566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444217203
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444218408
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421444221993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444239933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444240323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444240539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444241837
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444249616
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421444251010
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444258608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444258650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444261040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1421444263510
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421444272602
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444296569
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421444301043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444311287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444312421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444312600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444314217
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444315380
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421444317275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444337238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444338576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444338754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444340500
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444353490
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1421444354764
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444367730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444367769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444368899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444369078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444370545
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1421444373500
started,bundle,org.eclipse.mylyn.context.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.ui",1421444373566
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444376097
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444378183
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1421444379565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444379792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1421444383108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444383119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444388557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444397829
opened,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444398059
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444398108
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444401499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1421444413751
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444414646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421444416568
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444418270
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444419502
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444427961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1421444432784
