what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444764470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1421444780557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444780569
error,log,,,"Current file is not a match for the given config.",1421444780730
error,log,,,"Current file is not a match for the given config.",1421444780749
error,log,,,"Current file is not a match for the given config.",1421444780751
error,log,,,"Current file is not a match for the given config.",1421444780752
error,log,,,"Current file is not a match for the given config.",1421444780753
error,log,,,"Current file is not a match for the given config.",1421444780754
error,log,,,"Current file is not a match for the given config.",1421444780755
error,log,,,"Current file is not a match for the given config.",1421444780757
error,log,,,"Current file is not a match for the given config.",1421444780758
error,log,,,"Current file is not a match for the given config.",1421444780759
error,log,,,"Current file is not a match for the given config.",1421444780760
error,log,,,"Current file is not a match for the given config.",1421444780761
error,log,,,"Current file is not a match for the given config.",1421444780762
error,log,,,"Current file is not a match for the given config.",1421444780763
error,log,,,"Current file is not a match for the given config.",1421444780764
error,log,,,"Current file is not a match for the given config.",1421444780765
error,log,,,"Current file is not a match for the given config.",1421444780766
error,log,,,"Current file is not a match for the given config.",1421444780768
error,log,,,"Current file is not a match for the given config.",1421444780769
error,log,,,"Current file is not a match for the given config.",1421444780770
opened,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444781026
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444781106
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444792064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444810127
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444813720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444813748
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1421444821908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444830503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1421444838666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421444838677
error,log,,,"Current file is not a match for the given config.",1421444838830
error,log,,,"Current file is not a match for the given config.",1421444838831
error,log,,,"Current file is not a match for the given config.",1421444838833
error,log,,,"Current file is not a match for the given config.",1421444838834
error,log,,,"Current file is not a match for the given config.",1421444838835
error,log,,,"Current file is not a match for the given config.",1421444838836
error,log,,,"Current file is not a match for the given config.",1421444838837
error,log,,,"Current file is not a match for the given config.",1421444838838
error,log,,,"Current file is not a match for the given config.",1421444838839
error,log,,,"Current file is not a match for the given config.",1421444838840
error,log,,,"Current file is not a match for the given config.",1421444838841
error,log,,,"Current file is not a match for the given config.",1421444838842
error,log,,,"Current file is not a match for the given config.",1421444838843
error,log,,,"Current file is not a match for the given config.",1421444838844
error,log,,,"Current file is not a match for the given config.",1421444838845
error,log,,,"Current file is not a match for the given config.",1421444838846
error,log,,,"Current file is not a match for the given config.",1421444838847
error,log,,,"Current file is not a match for the given config.",1421444838848
error,log,,,"Current file is not a match for the given config.",1421444838849
error,log,,,"Current file is not a match for the given config.",1421444838849
error,log,,,"Current file is not a match for the given config.",1421444838850
error,log,,,"Current file is not a match for the given config.",1421444838852
error,log,,,"Current file is not a match for the given config.",1421444838853
error,log,,,"Current file is not a match for the given config.",1421444838854
error,log,,,"Current file is not a match for the given config.",1421444838855
error,log,,,"Current file is not a match for the given config.",1421444838856
error,log,,,"Current file is not a match for the given config.",1421444838857
error,log,,,"Current file is not a match for the given config.",1421444838858
error,log,,,"Current file is not a match for the given config.",1421444838859
error,log,,,"Current file is not a match for the given config.",1421444838860
error,log,,,"Current file is not a match for the given config.",1421444838861
error,log,,,"Current file is not a match for the given config.",1421444838862
error,log,,,"Current file is not a match for the given config.",1421444838863
error,log,,,"Current file is not a match for the given config.",1421444838865
error,log,,,"Current file is not a match for the given config.",1421444838866
error,log,,,"Current file is not a match for the given config.",1421444838867
error,log,,,"Current file is not a match for the given config.",1421444838868
error,log,,,"Current file is not a match for the given config.",1421444838869
error,log,,,"Current file is not a match for the given config.",1421444838870
error,log,,,"Current file is not a match for the given config.",1421444838871
error,log,,,"Current file is not a match for the given config.",1421444838872
error,log,,,"Current file is not a match for the given config.",1421444838873
error,log,,,"Current file is not a match for the given config.",1421444838874
error,log,,,"Current file is not a match for the given config.",1421444838876
error,log,,,"Current file is not a match for the given config.",1421444838877
error,log,,,"Current file is not a match for the given config.",1421444838879
error,log,,,"Current file is not a match for the given config.",1421444838880
opened,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444839131
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1421444839204
